127.0.0.1 - - [07/Dec/2021:18:12:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:54 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105689
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:54 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:54 +0900] "GET /BBS/script/map.js HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:54 +0900] "GET /BBS/script/script.js HTTP/1.1" 200 6958
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=guest HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /BBS/images/image-20211129153407-1.jpeg HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /BBS/images/no_img.jpg HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:12:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:13 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:13 +0900] "GET /BBS/externalLib/jqgrid/js/minified/jquery.jqGrid.min.js HTTP/1.1" 200 266441
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:13 +0900] "GET /BBS/externalLib/jqgrid/js/i18n/grid.locale-kr.js HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:13 +0900] "GET /BBS/externalLib/jqgrid/css/ui.jqgrid.css HTTP/1.1" 200 12894
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:15 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105689
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:15 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:15 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:15 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=guest HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:15:18 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:17:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:11 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:34 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:35 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:35 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:52 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:52 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:53 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:53 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:55 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:56 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [07/Dec/2021:18:18:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
