127.0.0.1 - - [27/Nov/2021:22:24:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:56 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 104271
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:56 +0900] "GET /BBS/script/script.js HTTP/1.1" 200 6266
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:56 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:56 +0900] "GET /BBS/script/map.js HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/images/%EB%B3%B4%EB%8F%84%EB%B8%94%EB%9F%AD24.png HTTP/1.1" 200 22634
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/images/%EB%B3%B4%EB%8F%84%EB%B8%94%EB%9F%AD22.png HTTP/1.1" 200 22634
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/images/%EC%A7%80%EC%9D%B4%EC%9E%89.gif HTTP/1.1" 200 4767928
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/images/image-20211109190934-1.jpeg HTTP/1.1" 200 11424
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /BBS/images/%EB%B3%B4%EB%8F%84%EB%B8%94%EB%9F%AD33.png HTTP/1.1" 200 22634
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:24:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:02 +0900] "POST /BBS/execute.jsp?process=login HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:03 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 104348
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:03 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:03 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:04 +0900] "GET /BBS/execute.jsp?process=logout HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [27/Nov/2021:22:25:04 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 104271
